,Claim Description,Coverage Code,Accident Source
522,"SP DELIVERING AND DROVE PAST THE RESIDENCE AND WHEN BACKING UP HITOCCUPIED VEHICLE. NO INJURY, NO TOW, POLICE",AD,Sideswipe or lane change
523,"THE MEMBER WAS TRYING TO GRAB A BAG WITH CHEESE FROM THE COOLER,  SHE HIT HER  FINGER WITH THE DOOR BAR AND GOT A DEEP CUT",GB,"Furniture, fixture"
524,GUEST RAN OVER THE CURB STOP IN THE HANDICAP PARKING SPOT AND THE BUMBER CAME OFF OF HIS CAR.,GD,Car stop
525,BROKEN WINDSHIELD 2020 SUBARU VIN# 30835 SAFELITE HAS BEEN CALLED TO REPLACE THE GLASS,AP,Windshield
526,IT IS ALLEGED THAT WHILE AT THE BAR THE GUEST BIT INTO A GLASS    WHICH WAS IN HER FRUIT SALAD. THERE WERE NO INJURIES REPORTED.,PA,Alleged Negligent Act
527,A STRAP FELL OFF THE PAPER YARD BAGS THE MEMBER WAS CARRYING DOWN THE MAIN AISLE IN FRONT OF CLOTHING CAUSING HER TO TRIP AND FALL,GB,DEFECTIVE PRODUCT
528,ME WAS OUTSIDE CLEANING THE DRYER HE SEEN THE GUEST LAYING BETWEE  N THE TRASH AND THE PILAR OUTSIDE WITH  HIS CHAIR,GB,Not Otherwise Classified
529,OBJECT HIT GLASS,AP,Windshield
530,"THE IV WAS TRAVELING ON THE HWY WHEN IT STRUCK A DEER. THE IV     INCURRED A BROKEN FRONT BUMPER, GRILLE, D/S FRONT DOOR AND GRILLE GUARD, BURST P/S FRONT LAMP AND A DENTED HOOD. NO INJURIES WERE   REPORTED.",AP,Struck animal or object
531,"THE OV REAR ENDED THE IV AT THE STOP LIGHT. THE IV INCURRED DAMAGETO THE REAR METAL PIECE OF THE BUMPER, CAMERA AND CAMERA BRACKET. THE OV INCURRED DAMAGE TO THE FRONT HOOD, BUMPER, D/S DOOR,       HEADLIGHT AND GRILLE. THE OV DRIVER REFUSED MEDICAL TREATMENT BY  AMBULANCE.",AP,Vehicle Accident
532,VI REAR ENDED V2,AB,Struck vehicle in rear
533,IV (BUS 60) STUCK ON SNOW PILE/ICE IN PARKING LOT.  DRIVER TRIED  TO GET UNSTUCK AND BUMPED POST BEHIND.,AP,Struck animal or object
534,INSURED VEHICLE REVERSING HIT THIRD PARTY VEHICLE CAUSING DAMAGE.,AD,Insured Reversing Hit TP
535,"CUSTOMER WAS SITTING IN THE CAFE, FELL FORWARD FROM HIS CHAIR AND FELL TO THE GROUND.  HITTING AND CUTTING HIS HEAD.  EMT WAS       CALLED.",GB,Non Liability Cases - Premises Medical
536,CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO DEFECTIVE ROAD SURFACE.,GD,Uneven Surface
537,LOCATION: 1137 STAFFORD' TX. CLAIMANT KALIUM SCOTT JR (512) 786   4394 SLIPPED ON WATER,GB,Water
538,ROCK FROM ROAD - NO ONE AT FAULTD,AP,Windshield
539,"WHILE A CUSTOMER WAS PUMPING GAS AT PUMP 1, ANOTHER CUSTOMER      NOTICED GASOLINE WAS LEAKING OUT OF THE CUSTOMER'S VEH. ABOUT 4 5 GALLONS OF GASOLINE WAS SPILLED. NO INJURIES WERE REPORTED.",RB,Not Otherwise Classified
540,"THE CLAIMANT ALLEGES HER AND HUSBAND MAY HAVE CONTRACTED FOOD     POISONING FROM ROOM SERVICE.AS A GESTURE OF GOOD FAITH, THE HOTEL REFUNDED THEIR ROOM SERVICE CHARGES ALONG WITH GIVING HIM A FREE  NIGHT STAY AT THE HOTEL FOR FUTURE USE.MEDICAL TREATMENT SOUGHT.",GB,Alleged Negligent Act
541,"IV DRIVER WAS STOPPED AT A RED LIGHT WHEN OV1 REAR ENDED IV. IV   WAS ON CLINE AVE WHERE IT MEETS RIVER DR. NO INJURIES WERE        REPORTED. IV SUSTAINED REAR END SMASHING DAMAGE AND WAS PUSHED    INTO A OV2 IN FRONT OF IV, CAUSING IV ADDITIONAL WINDSHIELD       DAMAGE, DAMAGE TO BOTH DOORS, AND FRONT END DAMAGE OF MULTIPLE    TYPES. OV1 WAS TOTALED; OV2 SUSTAINED REAR END DAMAGE OF MULTIPLE TYPES.",AP,Other - comprehensive
542,"NATCO DRIVER WHILE GOING DOWN A ONE-WAY STREET; DID NOT HAVE      ENOUGH ROOM ON EITHER SIDE OF THE VEHICLE TO NAVIGATE, CAUSING HIMTO SIDESWIPE A VEHICLE AND CAUSE MINOR DAMAGE TO ANOTHER VEHICLE.",AD,Sideswipe or lane change
543,"THE RESPONDENTS REFUSED TO RENT TO ME BASED ON MY SOURCE OF FUNDS ON OR AROUND MAY 27, 2022.0N OR ABOUT   MAY 27, 2022,",GB,Not Otherwise Classified
544,"MBR CLAIMS SHE TRIPPED OVER PARKING BUMPER, FELL TO GROUND AND    INJURED THE TOP CENTER OF HER FOREHEAD, NOSE, LFT HAND, LFT KNEE.",GB,Car stop
545,"A CUSTOMER WAS BUYING BLEACH AT ACO AROUND 4:00 PM, AND THE LID   WASN'T SEALED PROPERLY AND LEAKED ON HIS PANT WHILE HE WAS        SCANNING PRODUCTS.",GD,Container - Packaging Etc
546,SHARAELA  RIGGENS IN APT. 2315 REPORTED A PACKAGE MISSING FROM THE PACKAGE ROOM. DHL  SENT HER A PICTURE SHOWING HER PACKAGE IN THE,GD,Theft
547,IV WAS IN MOTION WHEN CONTACT WAS MADE WITH THE OV. DAMAGES TO    OV UNKNOWN; ONE CUSTOMER ON BOARD; NO INJURIES.                                                                                     LETTER OF REP: INGERMAN & HORWITZ,AB,Sideswipe or lane change
548,INSURED VEHICLE COLLIDED THIRD PARTY VEHICLE CAUSING DAMAGE.,AD,Collision
549,ONCOMING OV CROSSED INTO IVS LANE AND STRUCK HIM HEAD-ON,AP,Head-on collision
550,"OV WAS STOPPED, WHEN REAR-ENDED BY IV. THE OV INCURRED A DENT AND CRACKED PAINT TO THE REAR-END. NO INJURIES WERE REPORTED.",AD,Struck vehicle in rear
551,IV REAR ENDED OV,AD,Struck vehicle in rear
552,NO INJURIESHIT A FIXED OBJECT AND IMPACTED THE DRIVER SIDE WHEEL  COVER PANEL.,AP,Our vehicle struck by object or animal
553,IV AND OTHER PARTY VEHICLE WERE TRAVELLING AT UNSAFE SPEED AND DUETO TRAFFIC CONDITIONS COLLIDED,AP,Sideswipe or lane change
554,"OV WAS MERGING IN FRONT OF OUR VEHICLE, WE MADE CONTACT WITH      VEHICLE MERGING.",AD,Sideswipe or lane change
555,DOME STUCK IN LEFT EAR.,PL,"Alleged design flaw, defect"
556,"***SUIT REC'D. PLEASE CONTACT ABBEY FOR SUIT PAPERS****-TM WAS    CHANGING WIPER BLADES, SLIPPED AND FELL IN PARKING LOT, INJURING  HIS R SHOULDER.",GB,Alleged Negligent Act
557,CONTACT KEVIN FARRELL TO GET EXACT LOCATION OF IV FOR             APPRAISAL 512-576-1443,AD,Sideswipe or lane change
558,INSTRUCTOR WAS DRIVING BACK TO PENFIELD AFTER A LESSON AND HIS        VEHICLE CAME IN CONTRACT WITH ANOTHER AS HE ATTEMPTED TO      CHANGE TO THE                                                         RIGHT LANE TO GET AROUND A VEHICLE IN THE LEFT LANE THAT WAS  WAITING TO                                                            TURN LEFT,AP,Sideswipe or lane change
559,PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC"
560,THE INSURED WAS GETTING INTO THE CLAIMANT'S ATTIC WHEN HIS FOOT   WENT THROUGH THE CEILING.,GD,Alleged Negligent Act
561,DAMAGE TO MERCEDES SUV FROM CARTS BEING PUSHED.,GD,Alleged Negligent Act
562,THE CLIENT WAS WALKING BACK FROM THE SHOP WHEN SHE HAS FALLEN HEADFIRST AFTER TRIPPING OVER A RAISED FOOTPATH.,GB,DEFECTIVE PAVEMENT
563,UM CLAIM FOR INJURIES,AU,Sideswipe or lane change
564,MEMBER SLICED RING FINGER ON RIGHT HAND ON A BROKEN JARRITOS GLASSBOTTLE,GB,Alleged improper maintenance - other
565,OV TURNED RIGHT ONTO KATELLA AND IV MERGED INTO OV,AP,Other vehicle turning right
566,"SP BROKE CLAIMANTS STATUE WHEN DELIVERING PACKAGE. NO INJURY, NO  TOW, NO POLICE",AD,Alleged damage to property of others
567,THE ACCIDENT OCCURRED ON SOUTH SHEPHERD DRIVE IN HOUSTON TX.  THISIS A 3 LANE ROAD.  THE INSURED WAS IN THE RIGHT LANE & THE        CLAIMANT WAS TRAVELING IN THE LEFT LANE.  THEY BOTH TRIED TO MERGEINTO THE MIDDLE LANE AT THE SAME TIME & THEY COLLIDED.  THE POLICEOFFICER PUT THE INSURED AT FAULT DUE TO POINTS OF IMPACT.  THE    INSURED DAMAGES WAS DRIVERS SIDE FRONT FENDER & THE CLAIMANTS     DAMAGES WERE TO THE PASSENGER SIDE REAR.,AB,Sideswipe or lane change
568,"SMALL PD:IV WAS TURNING RIGHT ONTO STARK STREET FROM 127TH AVE.,  WHEN THE IV STRUCK A PARKED UNOCCUPIED VEHICLE. THE DRIVERS SIDE  FRONT CORNER PANEL WAS DENTED AND SCRATCHED. NO INJURIES REPORTED.",AL,Struck parked vehicle
569,I WAS DRIVING DOWN THE BELTWAY HEADING BACK TO CEVA IN TRAFFIC.   THE LADY CAME FROM BEHIND ME AND DROVE ON THE SHOULDER TO TRY AND PASS ME IN THE BUMPER TO BUMPER TRAFFIC. SHE ENDED UP CUTTING ME  OFF WHICH RESULTED IN ME REAR ENDING HER.,AD,Struck vehicle in rear
570,ON THE ABOVE DATE AND TIME I RECEIVED A CALL FROM FRONT DESK AGENT REGARDING A GUEST STUCK IN THE ELEVATOR. I MADE SCENE AND MET WIT,GB,"Elevator,escalator,manlift,moving sidewalk"
571,MEMBER CLAIMS THEIR VEHICLE WAS HIT BY EMPLOYEE MOVING CARTS,GD,Cart
572,MEMBER TRIPPED ON A PALLET WHILE LOADING A CASE OF WATER,GB,Pallet
573,THE CLAIMANT FELL DOWN A STAIRS AFTER THE RAILING BROKE AT THE    INSUREDS LOCATION. THE CLAIMANT HAD FILED A LAWSUIT AGAINST THAT  INSURED THAT WAS LEASING THE BUILDING AT THE TIME OF THE INCIDENT.THE INSURED IS BEING ASKED TO DO A DEPOSITION IN FOR LAWSUIT THAT IS AGAINST THE COMPANY THAT WAS LEASING THE INSURED LOCATION AT   THE TIME OF INCIDENT. THE INSURED HAS QUESTION ABOUT THE          DEPOSITION AN HOW IT SHOULD BE DONE.,GB,Alleged Negligent Act
574,CUSTOMER CLAIMS THAT HE DIDNT NOTICE IT ON MONDAY WHEN HE WAS AT  THE STORE AND THAT HIS CAR WAS DIRTY BUT HE BELIEVES THAT A CART  HIT HIS CAR CAUSING A LARGE SCRATCH AND BROKEN MOLDING.,GD,Cart
575,CASE # 112729 CONTACTED CFP AND NORTHSTAR AND CRISIS LINE  ROOM 4  23 RHONDA BAILEY SENT ME PHOTOS THAT THE ITEMS THAT SHE LOSS IN,GD,"Plumbing,Heating,AC,Discharge,Overflowing"
576,,AD,Struck vehicle in rear
577,"THE IV DRIVER WAS AT A RED LIGHT WAITING TO MAKE A LEFT HAND TURN,AND THOUGHT THE VEHICLE IN FRONT OF HER WAS GOING TO HIT HER SO   SHE BACKED INTO THE OV THAT WAS BEHIND. THE OV HAD A CRACK TO THE REAR BUMPER. THERE WERE NO INJURIES REPORTED.",AD,Struck vehicle in rear
578,CUSTOMER STATED THE METAL PANEL IN THE CANOPY FELL AND HIT THE    CUSTOMER'S CAR.,GD,Non-contact accident
579,"A PIPE BURST IN THE ATTIC AND EVERY FLOOR SUFFERED WATER DAMAGE   WITH DAMAGE TO COMPUTERS, PRINTERS, AND FURNITURE.",RC,"Plumbing,Heating,AC,Discharge,Overflowing"
580,TRUCK SKID SLIGHTLY INTO THE OTHER LANE TOUCHING VEHICLE ON REAR  BUMPER,AD,Sideswipe or lane change
581,IV RAN STOP SIGN AND STRUCK OV,AB,Intersection accident
582,ON 4/27/2023 AT APPROXIMATELY 10:16 AM (CENTER 172) EE WAS DRIVINGIN TRAFFIC AFTER A LIGHT CHANGE AND WAS REAR-ENDED WHILE STOPPING BEHIND A VEHICLE IN FRONT. COV (T1901483) DID NOT COME IN CONTACT WITH THE VEHICLE IN FRONT UPON IMPACT. NO INJURIES. MINOR DAMAGE  TO REAR BUMPER OF COV AND MINOR DAMAGE TO THE FRONT OF THE OV.    DRIVECAM CLIP DZRT80722 RECORDED THE INCIDENT. FOR ACD: CONTACT   CORPORATE FLEET/ASSET STEVE EDWARDS  404-520-5471.,AD,Intersection accident
583,"THE IV DRIVER WAS IN THE PROCESS OF SERVICING, AND WHILE BACKING  THE IV UP, THE IV DRIVER MADE CONTACT WITH A PEDESTRIAN.THE       PEDESTRIAN SUSTAINED ABRASIONS. THERE WAS NO INJURIES TO THE IV   DRIVER AND NO DAMAGE TO THE IV.",AB,"Struck pedestrian, bicycle"
584,IV ALLEGEDLY REAR ENDED OV,AD,Struck vehicle in rear
585,THIRD PARTY VEHICLE HIT INSURED VEHICLE IN REAR CAUSED LOSS AND   DAMAGE.,AU,Hit in Rear by Third Party
586,GUEST FELL OFF THE TOILET THIS MORNING DUE TO LOOSE TOILET SEAT.  REPORTED AN INFLAMED KNEE BUT DENIED MEDICAL ATTN.,PM,Alleged Negligent Act
587,"THE DRIVER OF OUR VEHICLE WAS AT A RED LIGHT WHEN THE OTHER       VEHICLE WENT IN REVERSE, HITTING OUR VEHICLE.",AP,Backed into vehicle or object
588,*ECOMM/ON- DA RUBBED MATTRESS AGAINST CEILING. MATTRESS BAG WAS   DIRTY. CALIFORNIA KNOCKDOWN CEILING. UNABLE TO CLEAN WITHOUT RUIN.,PB,e-Commerce
589,CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole
590,SMALL PD IV DRIVER WAS APPROACHING THECUST LOCATION THAT WAS IN ANALLEY AND THERE WAS AN ELECTRICAL WIRE HANGING LOW DUE TO THE     RECENT WINDS. THE LOW HANGING WIRE ATTACHED TO THE IV. THE FIRE   DEPARTMENT CAME AND DETACHED THE WIRE FROM THE IV. NO INJURIES.,AL,Struck/pulled down wires
591,"ID WAS PULLING FORWARD IN SNOWY PARKING LOT, TRAILER SLID IN SNOW AND COLLIDED WITH PARKED CV.",AD,Struck parked vehicle
592,"NO INJURIES IVD WAS FOLLOWING HIS GPS AND HE END UP GETTING STUCK IN A YARD.WHILE IN THE YARD, HE DAMAGES A TREE AND THE THIRD PARTYWANTS $300 TO REMOVE AND REPLACE THE TREE.",AD,Damage to landscaping
593,WHILE REACHING FOR A PACKAGE OF GROUND BEEF THE CUSTOMER STEPPED  OFF HER MOTORIZED CART AND PINNED HER FOOT/ANKLE BETWEEN CASE     GAURD AND MOTORIZED CART.,GB,"Human Action, NOC"
594,MEMBER WAS WALKING IN THE STORE WHEN A MEMBER IN AN ELECTRIC CART HIT HER IN THE BACK OF THE RIGHT LEG.,GB,Alleged Negligent Act
595,"ON THE AFTERNOON OF MAY 05,2023 AT 1240PM SECURITY RECEIVED A CALL FROM A PAST GUEST, SHANTELL WRIGHT 04/28-05/01/23 STATING THAT SH",GB,"Animal, Insect"
596,VEH 1 WAS ON ROUTE 581 IN MECHANICSBURG PA VEH 2 WAS ON ROUTE 581 INFRONT OF VEH 1 IN MECHANICSBURG PA VEH 2 STOPPED SUDDENLY AND   VEH 1 HIT VEH 2 CAUSING DAMAGE VEH 1 NEED IT NOW VEH 2 OTHER,AD,Sideswipe or lane change
597,"CLAIMANT CHANEL COLON WAS DRIVING BEHIND EM-036 OPERATED BY MIKE  MAKLE.  CLAIMANT STATES THAT OUR DRIVER HIT A BUMP AND A LARGE    CHUNK OF BLOCK CAME FROM THE BED OF THE TRUCK AND STRUCK HER      WINDSHIELD, CRACKING IT.",AD,Windshield
598,SMALL PD. A CUSTOMER IS ALLEGING THE IV DAMAGED THEIR ENCLOSURE   DOOR. NO INJURIES REPORTED.,AL,Struck animal or object
599,WINDSHIELD WAS DAMAGED BY ROCK FROM HIGHWAY,AP,Windshield
600,"THE EE'S HOSE DISCONNECTED, CAUSING GALLONS OF WATER TO SOAK THE  CARPET AND LEAK ONTO THE FLOOR BELOW",GD,Water
601,DRIVER DROVE THROUGH AREA OF PARKING LOT UNDER CONSTRUCTION AND SCRATCHED BOTTOM OF CAR,GD,Alleged Negligent Act
602,"THE GUEST ERIC ANDREWS, HAD A FEMALE STAYING WITH HIM BY THE NAME OF SHEILA WIGTON, THEY STATE THE THEY HAD PERSONAL BELONGINGS     STOLEN FROM THERE ROOM.",GD,Alleged Negligent Act
603,"DARREN NORBERT STATES ""2 BOTTLES OF OLIVE OIL EXPLODED IN HIS     KITCHEN."" DARREN NORBERT CLAIMS INJ'S SLIPPED ON OIL AND FELL.",PA,"Alleged design flaw, defect"
604,"CLAIMANT ALLEGES SHE AND HER 4 CHILDREN BECAME ILL AFTER CONSUMING3 DOUBLE QTR POUNDERS, WHICH WERE UNDERCOOKED. THEIR SYMPTOMS WEREVOMITING AND DIARRHEA. THE PURCHASE WAS MADE AT THE DRIVE THRU.",PA,Alleged contamination or spoilage
605,"SMALL PD.AFTER COMING FROM SERVICING A CUSTOMER. WM DRIVER MADE A RIGHT HAND TURN ONTO SNIDER, WHICH IS SOMETHING HE DOES EVERY     THURSDAY, WHEN HE NOTICEDTHAT A POWER LINE LOOKED A LITTLE LOW. ASI GOT CLOSER I SAW THAT IT WAS ACTUALLY LOWER AND TRIED TO SLOW   DOWN AND BRING THE ARMS LOWER TO PREVENT FROM HITTING THE POWER   LINE BUT ENDED UP SNAGGING ANYWAYS. AFTER STOPPING THE TRUCK HE   CALLED HIS ROUTE MANAGER AND DISPATCH. TWO CUSTOMERS CAME OUT TOLDME THAT THE HAD CALLED CENTER POINT A",AL,Struck/pulled down wires
606,"ATTORNEY SANFORD HILL (CLAIMANT) IS PURSUING A CLAIM AGAINST THE  CITY OF SUMMERVILLE DUE TO HIS LAW OFFICE BEING FLOODED BY SEWAGE.IN THE ANTE LITEM NOTICE RECEIVED BY THE CITY, IT MENTIONED THE   SEWAGE DRAINAGE SYSTEM WAS SEVERELY CLOGGED.",GD,Back up of sewer
607,A CART CREW EMPLOYEE PUSHED A CART INTO A MEMBERS CAR.,GD,Cart
608,WE WERE ENTERING IN THE CAR WASH AND WE HEAR A NOISE AND GOT      LOUDER IN THE MIDDLE,GD,Car Wash
609,"A GUEST TRIPPED ON A SPEED BUMP WHILE CROSSING THE DRIVEWAY TO SEEA CAR IN THE LOT; WHILE AN ASSOCIATE WAS HELP THE GUEST UP, HIS   WIFE RECORDED THE INCIDENT.",GB,Alleged improper maintenance - other
610,IV REAR ENDED OV,AD,Struck vehicle in rear
611,DRIVER WAS PUSHING A DOLLY NEXT TO A PARKED CAR AND HIT THE MIRRORWITH THE DOLLY AND CRACKED IT.,GD,Alleged Negligent Act
612,ON 12/22/22 SEAN OROURKE WAS IN AN ACCIDENT WHERE HE HIT A BLACK  BOLLARD (SEE ATTACHED PHOTO). SEAN REPORTED THE ACCIDENT TO THE   POLICE AND HIS SUPERVISOR (SEE ATTACHED POLICE REPORT ). HOWEVER  IT SEEMS THE INSURANCE COMPANY WAS NOT NOTIFIED. THANK YOU FOR    YOUR HELP ADDRESSING THIS MATTER. DAN,AP,Struck animal or object
613,THE IV WAS TRAVELING WEST ON ANDERSON. THE IV WAS ON THE LEFT LANEWHEN THE OV ATTEMPTED TO MAKE A LEFT TURN AND STRUCK THE IV. THE  IV HAS A SCRAPE TO THE MOLDING AND P/S REAR. NO INJURIES WERE     REPORTED.,AP,Sideswipe or lane change
614,OUR DRIVER REAR ENDED ANOTHER VEHICLE,AP,Struck vehicle in rear
615,"NISHANT M, WAS PUSHING CARTS IN PARKING LOT, HE FELT RUSHED BY    ANOTHER CAR AND WENT QUICKLY ACROSS PARKING LOT INFRONT OF SELF   CHECK OUT EXIT HE LOOKED BACK AT CAR AND DID NOT SEE THE BLACK    TRUCK, HIT THE BUMPER.",GD,Alleged Negligent Act
616,THE IV DRIVER AND OV DRIVER WERE TRAVELING ON WASHINGTON          BELTWAY.THE OV DRIVER WAS IN FAR RIGHT LANE.THE IV DRIVER WAS     MERGING RIGHT AND STRUCK OV D/S REAR FENDER.THERE WERE NO REPORTEDINJURIES.,AD,Sideswipe or lane change
617,ALLEGED: SP VEHICLE TURNING AROUND AND LEFT RUTS IN THE YARD,AD,Damage to landscaping
618,BUS AND TPV COLLIDED ON A ROUNDABOUT CAUSING DAMAGED.             BUS REG:   BF68LDZ   TP REG:   HN72EEX,AD,Collision on a Roundabout
619,MR. CHILSON WAS INJURED WHEN HE SLIPPED AND FELL ON THE STAIRCASE THAT LEADS FROM THE TD GARDEN ENTRANCE/EXIT TO THE GROUND FLOOR OF,GB,Stairs
620,"WHILE OPERATING M77, EMPLOYEE WAS TRAVELING THROUGH THE           INTERSECTION, WITH A GREEN LIGHT AND THE FLOW OF TRAFFIC, AND WAS HIT BY A CAR THAT WENT THROUGH THE RED LIGHT.",AN,Vehicle - passenger
621,NOT PROVIDED,AB,Vehicle Accident
622,EMPLOYEE HAD A SEVERE ALLERGIC REACTION TO AN UNKNOWN             IRRITANT/SUBSTANCE,NS,Allergic Reaction
623,A MYBAR SELECTOR WAS SELECTING IN SLOT 5770711 WHEN HE            ALLEGEDLY CUT HIS THUMB ON BROKEN GLASS IN THE SLOT,GB,"Glass, ceramic, NOC"
624,"**ECOMM (AB) VENDOR, THE SERVICE MAN SENT TO REPAIR THE DISHWASHERCAUSED PROPERTY DAMAGE",PB,e-Commerce
625,"ID, DANNY BELL, REAR ENDED OV. OV WAS STOPPED ON OTHER SIDE OF    HILL, INSURED DID NOT SEE BRAKE LIGHTS UNTIL TOO LATE.",AP,Struck vehicle in rear
626,INSURED VEHICLE WAS RESPONSIBLE AS THEY COLLIDED WITH THIRD PARTY,AD,Insured Hit Parked TP
627,ASPEN RUN IN DATA - ESCAPE OF WATER,RB,Not Otherwise Classified
628,"OV (RENTAL) WAS PARKED AT A HOTEL WHEN IV BACKED INTO IT. THE     RENTAL SUSTAINED DAMAGE, A DENT, TO THE DRIVER 'S SIDE 1/4 PANEL",AD,Backed into vehicle or object
629,"SMALL PD THE IV DRIVER WAS SERVICING CUSTOMER CONTAINERS ON THE   STREET, WHEN WIRES CAUGHT ONTO THE IV AND CAUSED SIDING           ON A HOUSE TO INCUR DAMAGE WHEN THE WIRES WERE PULLED BY THE IV.  THERE WERE NO INJURIES REPORTED.",AL,"Struck building, overhang"
630,"THE IV DRIVER LEFT THE IV IN DRIVE AND RUNNING WHEN EXITING THE   IV. THE IV STRUCK A BLOCK WALL AROUND THE DUMPSTER, KNOCKING IT   OVER. THE FRONT BUMPER HAS MINOR SCRATCHES, AND THE FENDER AROUND THE P/S IS CRUNCHED. NO INJURIES REPORTED.",AD,Struck animal or object
631,"UPS VEHICLE WAS MAKING A RIGHT TURN, WHILE COMPLETING THE TURN THEREAR BEGAN TO SLID AND THE REAR OF THE PACKAGE CAR STRUCK THE     FENCE AROUND THE PROPERTY OF THE CORNER HOUSE",AD,Other vehicle turning right
632,"THE IV WAS IN A COLLISION THAT CAUSED BUMPER, HOOD DAMAGE. THERE  WERE NO INJURIESREPORTED.",AP,Alleged improper maintenance - other
633,PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC"
634,"CLAIMANT ALLEGES THAT WHILE HIS VEHICLE WAS PARKED IN THE PARKING LOT, THE WIND BLEW THE CURBSIDE PICKUP SIGN ONTO IT. HIS VEHICLE  INCURRED DAMAGE.NO INJURIES REPORTED.",GD,Alleged Negligent Act
635,GUEST MR. WRIGHT WAS EXITING THE BATHROOM DOOR WHERE HIS FOOT     SCRAPED AGAINST THE SHOWER GUARD CUTTING HIS FOOT. THE INCIDENT   WAS REPORTED BY MR. WRIGHTS GIRLFRIEND THERESA SIMPSON. THE GUEST WAS ASKED IF MEDICAL ATTENTION WAS NEEDED AND THEY DECLINED. WHEN ASSISTANCE GENERAL MANAGER HENRY ASKED WHAT FOOT WAS INJURED MS.  SIMPSON DID NOT KNOW. I TRIED TO REACH OUT TO 215 431 8535 TO GET MORE INFORMATION AND WAS NOT GETTING THROUGH. GUEST WOULD LIKE TO BE CONTACTED.,GB,Alleged Negligent Act
636,PASSENGER STARTED SWEARING AT THE DRIVER AND THREATENING HIM .,EL,Assault and/or abuse
637,ATTY REP'D CLMNT ALLEGES SHE SLIPPED AND FELL AT PUMP #2.  SEE EE STMNT FOR DISCREPANCIES IN CLAIMANT'S VERSION OF FACTS,GB,Alleged Negligent Act
638,"SMALL PD. A CALLER CLAIMED THAT IV CAME DOWN THE ROAD, MAKING     CONTACT WITH HIS PARKED AND UNOCCUPIED OV, LEAVING A DENT AND A   BLACK SCUFF DOWN THE D/S. NO INJURIES WERE REPORTED.",AL,Struck parked vehicle
639,NO INJURIES OUR TECHNICIAN WAS BACKING OUT OF THE MIDDLE BAY AND  BACKED INTO A PICK UP TRUCK THAT WAS PARKED .,AD,Backed into vehicle or object
640,MRS. KILBRIGE SAID SHE WENT TO THE DOWNSTAIRS LADY'S BATHROOM.AND SHE SAID THE FLOOR WAS WET   SHE SLIPPED AND WENT TO THE FLOOR,GB,Water
641,THE DRIVER OF THE IV WAS ATTEMPTING TO LEAVE THE KAISER PERMANENTELOCATION WHEN THE IV STRUCK THE OV TO THE P/S. THE OV HAS DAMAGE  TO THE P/S REAR DOOR. THE DRIVER OF THE OV HAS PAIN TO THE BACK.,AB,Sideswipe or lane change
642,ELDON R-I SCHOOL DISTRICT - SUPER WINDY AND A SCHOOL GATE WAS NOT LATCHED CAUSING IT TO SWING OPEN AND SCRATCH/DENT STUDENTS CAR,GD,Not Otherwise Classified
643,"SP VEHICLE WAS TURNING RIGHT WHEN CLAIMANT'S VEHICLE WAS OVER SPEEDING PASSING THROUGH HIS DRIVER SIDE AND COLLIDED WITH HIM. NO INJURIES, AND NO TOW. POLICE WERE CALLED. SP VEHICLE'S BOTTOM DRIVER SIDE BUMPER IS DAMAGE.",AD,Sideswipe or lane change
644,CLIENT HIT PARKED THIRD PARTY VEHICLE .,AD,Insured Hit Parked TP
645,CLAIMANT ALLEGES ALL PARTIES WERE INJURED FROM SHATTERED DEBRIS OFA GLASS WINDOW SHATTERING IN THE BANK.,GB,Alleged improper maintenance - other
646,"IV FAILED TO YIELD RIGHT OF WAY TO THE OV, RESULTING IN THE OV    STRIKING THE P/S OF THE IV.NO INJURIES.IV HAS DAMAGE TO THE P/S OFVEHICLE.OV HAS FRONT END DAMAGE.",AD,Intersection accident
647,"OV1 DRIVER STATED HE WAS TRAVELING ON HWY 125, WHEN IV DRIVER     STRUCK HIS VEHICLE ON D/S FRONT, D/S FENDER, FRONT BUMPER, AND    BOTH DOORS ON D/S FRONT AND D/S REAR.OV1 DRIVER STATED THERE WAS  ANOTHER VEHICLE INVOLVED IN THE ACCIDENT, OV2. THERE WERE NO      INJURIES REPORTED.",AD,Sideswipe or lane change
648,SMALL PD. THE CLAIMANT ALLEGES THAT HER PERSONAL TRASH CAN WAS    THROWN OUT DURING SERVICE.,AL,Accidental disposal of property/object
649,"GSR ITTIPHON REPORTS THAT ""MICHELLE FOSTER COME DOWN TO FRONT DES  K AND ASKED IF SHE NEED TO REPORT THAT  SHE FELL IN HER ROOM"". TH",GB,Not Otherwise Classified
650,"THE GUEST, MS. ANNE GETTE, LOST HER GOLD CHAIN WITH A DIAMOND     CHARM IN HER HOTEL ROOM. VALUED AT $4,500. IT HAS NOT BEEN FOUND.",IK,Alleged Negligent Act
651,V1 BACKED IN TO PARKED V2,AD,Backed into vehicle or object
